Quote Date,Quote ID,Quote Number,Quote Status,Customer ID,Expiry Date,PurchaseOrder,Currency Code,Exchange Rate,Discount Type,Is Discount Before Tax,Entity Discount Percent,Is Inclusive Tax,SubTotal,Total,Adjustment,Notes,Terms & Conditions,Subject,Customer Name,Place of Supply,Place of Supply(With State Code),GST Treatment,GST Identification Number (GSTIN),Is Export Without LUT/Bond,Tax Collected From Customer,Project Name,Project ID,Sales person,Billing Address,Billing City,Billing State,Billing Country,Billing Code,Billing Fax,Template Name,Adjustment Description,Shipping Address,Shipping City,Shipping State,Shipping Country,Shipping Code,Shipping Fax,Source,Reference ID,Last Sync Time,TCS Amount,Entity Discount Amount,TDS Name,TDS Section Code,TDS Section,TDS Percentage,TDS Amount,TCS Tax Name,TCS Percentage,Nature Of Collection,Shipping Charge,Shipping Charge Tax ID,Shipping Charge Tax Amount,Shipping Charge Tax Name,Shipping Charge Tax %,Shipping Charge Tax Type,Shipping Charge Tax Exemption Code,Shipping Charge SAC Code,Item Name,Item Desc,HSN/SAC,Quantity,Discount,Discount Amount,Item Tax Amount,Item Total,Product ID,Account,Usage unit,Item Price,Supply Type,Tax ID,Item Tax,Item Tax %,Item Tax Type,Reverse Charge Tax Name,Reverse Charge Tax Rate,Reverse Charge Tax Type,CGST Rate %,SGST Rate %,IGST Rate %,CESS Rate %,CGST(FCY),SGST(FCY),IGST(FCY),CESS(FCY),CGST,SGST,IGST,CESS,Item Tax Exemption Reason,Item Type,Kit Combo Item Name
2025-07-31,2761566000000032595,RBS_QT-000001,rejected,2761566000000032575,2025-08-07,,INR,1.00,item_level,true,0.00,false,14400.00,16992.00,0.00,"Looking ahead for your principal approval along with PO.
This rate is only for temporary office work.
Temporary office wiring works at Kashi Station.","1. Final Invoice on the actual measurement.
2.Civil Work will not be covered in our scope of work.
3. Final payment will done within a week after completion of works.",,GS EXPRESS PVT LTD,9,09-Uttar Pradesh,business_gst,09AACCG5655J2Z9,NO,NO,,,,"KHASRA NO. 844, RAIBREILLY ROAD, KALLI PASCHIM,",Lucknow,Uttar Pradesh,India,226014,,Spreadsheet - Plus,Adjustment,KASHI RAILWAY STATION,Varanasi,Uttar Pradesh,India,221001,,1,,,,0.0,,,,0.00,0.000,,,,0.00,,,,,,,,Wiring & PVC casing/conduit fixing,,995461,900.00,0.00,0.000,2592.00,14400.00,2761566000000032544,Sales,sqf,16.00,Taxable,2761566000000032432,GST18,18.00,Tax Group,,,,9.00,9.00,0.00,0.00,1296.00,1296.00,0.00,0.00,1296.00,1296.00,0.00,0.00,,service,
2026-06-04,2761566000000200050,QT-26-001,invoiced,2761566000000183009,,,INR,1.00,item_level,true,0.00,false,28666.11,33826.01,0.00,Looking ahead for your principal approval along with PO.,"1. Validity: 10 days from date of issue.
2. Payment Terms: 100% advance as per quotation.",,EPACK PREFAB TECHNOLOGIES LIMITED,9,09-Uttar Pradesh,business_gst,09AAACE5175D3ZQ,NO,NO,,,,"61 B C, UDYOG VIHAR, GREATER NOIDA,",Gautambuddha Nagar,Uttar Pradesh,India,201306,,Spreadsheet - Plus,Adjustment,Darbhanga Airport,Darbhanga,Bihar,India,846005,,1,,,,0.0,,,,0.00,0.000,,,,0.00,,,,,,,,LUB OIL 10 LTR,,27101980,3.00,4.00,675.250,2917.10,16206.11,2761566000000200008,Sales,nos,5627.12,Taxable,2761566000000032432,GST18,18.00,Tax Group,,,,9.00,9.00,0.00,0.00,1458.55,1458.55,0.00,0.00,1458.55,1458.55,0.00,0.00,,goods,
2026-06-04,2761566000000200050,QT-26-001,invoiced,2761566000000183009,,,INR,1.00,item_level,true,0.00,false,28666.11,33826.01,0.00,Looking ahead for your principal approval along with PO.,"1. Validity: 10 days from date of issue.
2. Payment Terms: 100% advance as per quotation.",,EPACK PREFAB TECHNOLOGIES LIMITED,9,09-Uttar Pradesh,business_gst,09AAACE5175D3ZQ,NO,NO,,,,"61 B C, UDYOG VIHAR, GREATER NOIDA,",Gautambuddha Nagar,Uttar Pradesh,India,201306,,Spreadsheet - Plus,Adjustment,Darbhanga Airport,Darbhanga,Bihar,India,846005,,1,,,,0.0,,,,0.00,0.000,,,,0.00,,,,,,,,LUBE OIL 5 LTR,,27101980,1.00,4.00,120.000,518.40,2880.00,2761566000000206025,Sales,nos,3000.00,Taxable,2761566000000032432,GST18,18.00,Tax Group,,,,9.00,9.00,0.00,0.00,259.20,259.20,0.00,0.00,259.20,259.20,0.00,0.00,,goods,
2026-06-04,2761566000000200050,QT-26-001,invoiced,2761566000000183009,,,INR,1.00,item_level,true,0.00,false,28666.11,33826.01,0.00,Looking ahead for your principal approval along with PO.,"1. Validity: 10 days from date of issue.
2. Payment Terms: 100% advance as per quotation.",,EPACK PREFAB TECHNOLOGIES LIMITED,9,09-Uttar Pradesh,business_gst,09AAACE5175D3ZQ,NO,NO,,,,"61 B C, UDYOG VIHAR, GREATER NOIDA,",Gautambuddha Nagar,Uttar Pradesh,India,201306,,Spreadsheet - Plus,Adjustment,Darbhanga Airport,Darbhanga,Bihar,India,846005,,1,,,,0.0,,,,0.00,0.000,,,,0.00,,,,,,,,Fuel filter,,84212900,2.00,5.00,60.000,205.20,1140.00,2761566000000200029,Sales,nos,600.00,Taxable,2761566000000032432,GST18,18.00,Tax Group,,,,9.00,9.00,0.00,0.00,102.60,102.60,0.00,0.00,102.60,102.60,0.00,0.00,,goods,
2026-06-04,2761566000000200050,QT-26-001,invoiced,2761566000000183009,,,INR,1.00,item_level,true,0.00,false,28666.11,33826.01,0.00,Looking ahead for your principal approval along with PO.,"1. Validity: 10 days from date of issue.
2. Payment Terms: 100% advance as per quotation.",,EPACK PREFAB TECHNOLOGIES LIMITED,9,09-Uttar Pradesh,business_gst,09AAACE5175D3ZQ,NO,NO,,,,"61 B C, UDYOG VIHAR, GREATER NOIDA,",Gautambuddha Nagar,Uttar Pradesh,India,201306,,Spreadsheet - Plus,Adjustment,Darbhanga Airport,Darbhanga,Bihar,India,846005,,1,,,,0.0,,,,0.00,0.000,,,,0.00,,,,,,,,L.O.FLTR+ELEMENT V8/V6,,84212300,2.00,5.00,100.000,342.00,1900.00,2761566000000200017,Sales,nos,1000.00,Taxable,2761566000000032432,GST18,18.00,Tax Group,,,,9.00,9.00,0.00,0.00,171.00,171.00,0.00,0.00,171.00,171.00,0.00,0.00,,goods,
2026-06-04,2761566000000200050,QT-26-001,invoiced,2761566000000183009,,,INR,1.00,item_level,true,0.00,false,28666.11,33826.01,0.00,Looking ahead for your principal approval along with PO.,"1. Validity: 10 days from date of issue.
2. Payment Terms: 100% advance as per quotation.",,EPACK PREFAB TECHNOLOGIES LIMITED,9,09-Uttar Pradesh,business_gst,09AAACE5175D3ZQ,NO,NO,,,,"61 B C, UDYOG VIHAR, GREATER NOIDA,",Gautambuddha Nagar,Uttar Pradesh,India,201306,,Spreadsheet - Plus,Adjustment,Darbhanga Airport,Darbhanga,Bihar,India,846005,,1,,,,0.0,,,,0.00,0.000,,,,0.00,,,,,,,,COOLANT 1 LTR,,38200000,2.00,5.00,60.000,205.20,1140.00,2761566000000206044,Sales,nos,600.00,Taxable,2761566000000032432,GST18,18.00,Tax Group,,,,9.00,9.00,0.00,0.00,102.60,102.60,0.00,0.00,102.60,102.60,0.00,0.00,,goods,
2026-06-04,2761566000000200050,QT-26-001,invoiced,2761566000000183009,,,INR,1.00,item_level,true,0.00,false,28666.11,33826.01,0.00,Looking ahead for your principal approval along with PO.,"1. Validity: 10 days from date of issue.
2. Payment Terms: 100% advance as per quotation.",,EPACK PREFAB TECHNOLOGIES LIMITED,9,09-Uttar Pradesh,business_gst,09AAACE5175D3ZQ,NO,NO,,,,"61 B C, UDYOG VIHAR, GREATER NOIDA,",Gautambuddha Nagar,Uttar Pradesh,India,201306,,Spreadsheet - Plus,Adjustment,Darbhanga Airport,Darbhanga,Bihar,India,846005,,1,,,,0.0,,,,0.00,0.000,,,,0.00,,,,,,,,SERVICE CHARGE,,998717,1.00,0.00,0.000,972.00,5400.00,2761566000000200065,Sales,Job,5400.00,Taxable,2761566000000032432,GST18,18.00,Tax Group,,,,9.00,9.00,0.00,0.00,486.00,486.00,0.00,0.00,486.00,486.00,0.00,0.00,,service,
2026-06-08,2761566000000216007,QT-26-002,sent,2761566000000183009,,,INR,1.00,item_level,true,0.00,false,83050.90,98000.00,-0.06,Looking ahead for your principal approval along with PO.,"1. Validity: 10 days from date of issue.
2. Payment Terms: 100% advance as per quotation.
3. Payment to be completed within 2 days of  PO date.",,EPACK PREFAB TECHNOLOGIES LIMITED,9,09-Uttar Pradesh,business_gst,09AAACE5175D3ZQ,NO,NO,,,,"61 B C, UDYOG VIHAR, GREATER NOIDA,",Gautambuddha Nagar,Uttar Pradesh,India,201306,,Spreadsheet - Plus,Adjustment,"Sarsawa Airport,",Saharanpur,Uttar Pradesh,India,,,1,,,,0.0,,,,0.00,0.000,,,,0.00,,,,,,,,GREAVES LUB OIL- 20 LTR,,27101980,5.00,0.00,0.000,9621.00,53450.00,2761566000000200003,Sales,nos,10690.00,Taxable,2761566000000032432,GST18,18.00,Tax Group,,,,9.00,9.00,0.00,0.00,4810.50,4810.50,0.00,0.00,4810.50,4810.50,0.00,0.00,,goods,
2026-06-08,2761566000000216007,QT-26-002,sent,2761566000000183009,,,INR,1.00,item_level,true,0.00,false,83050.90,98000.00,-0.06,Looking ahead for your principal approval along with PO.,"1. Validity: 10 days from date of issue.
2. Payment Terms: 100% advance as per quotation.
3. Payment to be completed within 2 days of  PO date.",,EPACK PREFAB TECHNOLOGIES LIMITED,9,09-Uttar Pradesh,business_gst,09AAACE5175D3ZQ,NO,NO,,,,"61 B C, UDYOG VIHAR, GREATER NOIDA,",Gautambuddha Nagar,Uttar Pradesh,India,201306,,Spreadsheet - Plus,Adjustment,"Sarsawa Airport,",Saharanpur,Uttar Pradesh,India,,,1,,,,0.0,,,,0.00,0.000,,,,0.00,,,,,,,,LUB OIL 10 LTR,,27101980,1.00,0.00,0.000,954.00,5300.00,2761566000000200008,Sales,nos,5300.00,Taxable,2761566000000032432,GST18,18.00,Tax Group,,,,9.00,9.00,0.00,0.00,477.00,477.00,0.00,0.00,477.00,477.00,0.00,0.00,,goods,
2026-06-08,2761566000000216007,QT-26-002,sent,2761566000000183009,,,INR,1.00,item_level,true,0.00,false,83050.90,98000.00,-0.06,Looking ahead for your principal approval along with PO.,"1. Validity: 10 days from date of issue.
2. Payment Terms: 100% advance as per quotation.
3. Payment to be completed within 2 days of  PO date.",,EPACK PREFAB TECHNOLOGIES LIMITED,9,09-Uttar Pradesh,business_gst,09AAACE5175D3ZQ,NO,NO,,,,"61 B C, UDYOG VIHAR, GREATER NOIDA,",Gautambuddha Nagar,Uttar Pradesh,India,201306,,Spreadsheet - Plus,Adjustment,"Sarsawa Airport,",Saharanpur,Uttar Pradesh,India,,,1,,,,0.0,,,,0.00,0.000,,,,0.00,,,,,,,,L.O.FLTR,,84212300,6.00,0.00,0.000,421.30,2340.60,2761566000000200017,Sales,nos,390.10,Taxable,2761566000000032432,GST18,18.00,Tax Group,,,,9.00,9.00,0.00,0.00,210.65,210.65,0.00,0.00,210.65,210.65,0.00,0.00,,goods,
2026-06-08,2761566000000216007,QT-26-002,sent,2761566000000183009,,,INR,1.00,item_level,true,0.00,false,83050.90,98000.00,-0.06,Looking ahead for your principal approval along with PO.,"1. Validity: 10 days from date of issue.
2. Payment Terms: 100% advance as per quotation.
3. Payment to be completed within 2 days of  PO date.",,EPACK PREFAB TECHNOLOGIES LIMITED,9,09-Uttar Pradesh,business_gst,09AAACE5175D3ZQ,NO,NO,,,,"61 B C, UDYOG VIHAR, GREATER NOIDA,",Gautambuddha Nagar,Uttar Pradesh,India,201306,,Spreadsheet - Plus,Adjustment,"Sarsawa Airport,",Saharanpur,Uttar Pradesh,India,,,1,,,,0.0,,,,0.00,0.000,,,,0.00,,,,,,,,Pre -Fuel filter,,78060010,3.00,0.00,0.000,118.80,660.00,2761566000000200029,Sales,nos,220.00,Taxable,2761566000000032432,GST18,18.00,Tax Group,,,,9.00,9.00,0.00,0.00,59.40,59.40,0.00,0.00,59.40,59.40,0.00,0.00,,goods,
2026-06-08,2761566000000216007,QT-26-002,sent,2761566000000183009,,,INR,1.00,item_level,true,0.00,false,83050.90,98000.00,-0.06,Looking ahead for your principal approval along with PO.,"1. Validity: 10 days from date of issue.
2. Payment Terms: 100% advance as per quotation.
3. Payment to be completed within 2 days of  PO date.",,EPACK PREFAB TECHNOLOGIES LIMITED,9,09-Uttar Pradesh,business_gst,09AAACE5175D3ZQ,NO,NO,,,,"61 B C, UDYOG VIHAR, GREATER NOIDA,",Gautambuddha Nagar,Uttar Pradesh,India,201306,,Spreadsheet - Plus,Adjustment,"Sarsawa Airport,",Saharanpur,Uttar Pradesh,India,,,1,,,,0.0,,,,0.00,0.000,,,,0.00,,,,,,,,Micro -Fuel filter,,78060010,3.00,0.00,0.000,108.06,600.30,2761566000000219186,Sales,nos,200.10,Taxable,2761566000000032432,GST18,18.00,Tax Group,,,,9.00,9.00,0.00,0.00,54.03,54.03,0.00,0.00,54.03,54.03,0.00,0.00,,goods,
2026-06-08,2761566000000216007,QT-26-002,sent,2761566000000183009,,,INR,1.00,item_level,true,0.00,false,83050.90,98000.00,-0.06,Looking ahead for your principal approval along with PO.,"1. Validity: 10 days from date of issue.
2. Payment Terms: 100% advance as per quotation.
3. Payment to be completed within 2 days of  PO date.",,EPACK PREFAB TECHNOLOGIES LIMITED,9,09-Uttar Pradesh,business_gst,09AAACE5175D3ZQ,NO,NO,,,,"61 B C, UDYOG VIHAR, GREATER NOIDA,",Gautambuddha Nagar,Uttar Pradesh,India,201306,,Spreadsheet - Plus,Adjustment,"Sarsawa Airport,",Saharanpur,Uttar Pradesh,India,,,1,,,,0.0,,,,0.00,0.000,,,,0.00,,,,,,,,coolant 10 ltr,,38200000,3.00,0.00,0.000,1566.00,8700.00,2761566000000219119,Sales,nos,2900.00,Taxable,2761566000000032432,GST18,18.00,Tax Group,,,,9.00,9.00,0.00,0.00,783.00,783.00,0.00,0.00,783.00,783.00,0.00,0.00,,goods,
2026-06-08,2761566000000216007,QT-26-002,sent,2761566000000183009,,,INR,1.00,item_level,true,0.00,false,83050.90,98000.00,-0.06,Looking ahead for your principal approval along with PO.,"1. Validity: 10 days from date of issue.
2. Payment Terms: 100% advance as per quotation.
3. Payment to be completed within 2 days of  PO date.",,EPACK PREFAB TECHNOLOGIES LIMITED,9,09-Uttar Pradesh,business_gst,09AAACE5175D3ZQ,NO,NO,,,,"61 B C, UDYOG VIHAR, GREATER NOIDA,",Gautambuddha Nagar,Uttar Pradesh,India,201306,,Spreadsheet - Plus,Adjustment,"Sarsawa Airport,",Saharanpur,Uttar Pradesh,India,,,1,,,,0.0,,,,0.00,0.000,,,,0.00,,,,,,,,FREIGHT AND DELIVERY,,998719,1.00,0.00,0.000,540.00,3000.00,2761566000000219191,Sales,nos,3000.00,Taxable,2761566000000032432,GST18,18.00,Tax Group,,,,9.00,9.00,0.00,0.00,270.00,270.00,0.00,0.00,270.00,270.00,0.00,0.00,,service,
2026-06-08,2761566000000216007,QT-26-002,sent,2761566000000183009,,,INR,1.00,item_level,true,0.00,false,83050.90,98000.00,-0.06,Looking ahead for your principal approval along with PO.,"1. Validity: 10 days from date of issue.
2. Payment Terms: 100% advance as per quotation.
3. Payment to be completed within 2 days of  PO date.",,EPACK PREFAB TECHNOLOGIES LIMITED,9,09-Uttar Pradesh,business_gst,09AAACE5175D3ZQ,NO,NO,,,,"61 B C, UDYOG VIHAR, GREATER NOIDA,",Gautambuddha Nagar,Uttar Pradesh,India,201306,,Spreadsheet - Plus,Adjustment,"Sarsawa Airport,",Saharanpur,Uttar Pradesh,India,,,1,,,,0.0,,,,0.00,0.000,,,,0.00,,,,,,,,SERVICE CHARGE,,998717,3.00,0.00,0.000,1620.00,9000.00,2761566000000200065,Sales,Job,3000.00,Taxable,2761566000000032432,GST18,18.00,Tax Group,,,,9.00,9.00,0.00,0.00,810.00,810.00,0.00,0.00,810.00,810.00,0.00,0.00,,service,
2026-07-15,2761566000000253022,QT-26-003,sent,2761566000000183009,,,INR,1.00,item_level,true,0.00,false,16000.00,18880.00,0.00,Looking ahead for your principal approval along with PO.,"1. Validity: 10 days from date of issue.
2. Payment Terms: 100% advance as per quotation.
3. Payment to be completed within 2 days of  PO date.",,EPACK PREFAB TECHNOLOGIES LIMITED,9,09-Uttar Pradesh,business_gst,09AAACE5175D3ZQ,NO,NO,,,,"61 B C, UDYOG VIHAR, GREATER NOIDA,",Gautambuddha Nagar,Uttar Pradesh,India,201306,,Spreadsheet,Round Off,,,,India,,,1,,,,0.0,,,,0.00,0.000,,,,0.00,,,,,,,,CCTV Camera Repair/Maintenance Services,(Excluding Parts),998719,4.00,0.00,0.000,1080.00,6000.00,2761566000000253009,Sales,pcs,1500.00,Taxable,2761566000000032432,GST18,18.00,Tax Group,,,,9.00,9.00,0.00,0.00,540.00,540.00,0.00,0.00,540.00,540.00,0.00,0.00,,service,
2026-07-15,2761566000000253022,QT-26-003,sent,2761566000000183009,,,INR,1.00,item_level,true,0.00,false,16000.00,18880.00,0.00,Looking ahead for your principal approval along with PO.,"1. Validity: 10 days from date of issue.
2. Payment Terms: 100% advance as per quotation.
3. Payment to be completed within 2 days of  PO date.",,EPACK PREFAB TECHNOLOGIES LIMITED,9,09-Uttar Pradesh,business_gst,09AAACE5175D3ZQ,NO,NO,,,,"61 B C, UDYOG VIHAR, GREATER NOIDA,",Gautambuddha Nagar,Uttar Pradesh,India,201306,,Spreadsheet,Round Off,,,,India,,,1,,,,0.0,,,,0.00,0.000,,,,0.00,,,,,,,,CCTV Rack Cable Dressing & Tagging.,(Including consumables and service charges),995461,1.00,0.00,0.000,1800.00,10000.00,2761566000000253001,Sales,Job,10000.00,Taxable,2761566000000032432,GST18,18.00,Tax Group,,,,9.00,9.00,0.00,0.00,900.00,900.00,0.00,0.00,900.00,900.00,0.00,0.00,,service,
